
              -- N E S T --
  Copyright (C) 2004 The NEST Initiative

 Version: 3.9.0-post0.dev0
 Built: Jan 15 2026 10:38:56

 This program is provided AS IS and comes with
 NO WARRANTY. See the file LICENSE for details.

 Problems or suggestions?
   Visit https://www.nest-simulator.org

 Type 'nest.help()' to find out more about NEST.



[   3% ] Model time: 50.5 ms, Real-time factor: 0.2670
[   3% ] Model time: 51.0 ms, Real-time factor: 0.2678
[   3% ] Model time: 51.5 ms, Real-time factor: 0.2686
[   3% ] Model time: 52.0 ms, Real-time factor: 0.2693
[   3% ] Model time: 52.5 ms, Real-time factor: 0.2700
[   3% ] Model time: 53.0 ms, Real-time factor: 0.2706
[   3% ] Model time: 53.5 ms, Real-time factor: 0.2716
[   3% ] Model time: 54.0 ms, Real-time factor: 0.2722
[   3% ] Model time: 54.5 ms, Real-time factor: 0.2729
[   3% ] Model time: 55.0 ms, Real-time factor: 0.2735
[   3% ] Model time: 55.5 ms, Real-time factor: 0.2741
[   3% ] Model time: 56.0 ms, Real-time factor: 0.2752
[   3% ] Model time: 56.5 ms, Real-time factor: 0.2758
[   3% ] Model time: 57.0 ms, Real-time factor: 0.2764
[   3% ] Model time: 57.5 ms, Real-time factor: 0.2770
[   3% ] Model time: 58.0 ms, Real-time factor: 0.2776
[   3% ] Model time: 58.5 ms, Real-time factor: 0.2782
[   3% ] Model time: 59.0 ms, Real-time factor: 0.2790
[   3% ] Model time: 59.5 ms, Real-time factor: 0.2795
[   3% ] Model time: 60.0 ms, Real-time factor: 0.2801
[   4% ] Model time: 60.5 ms, Real-time factor: 0.2806
[   4% ] Model time: 61.0 ms, Real-time factor: 0.2811
[   4% ] Model time: 61.5 ms, Real-time factor: 0.2819
[   4% ] Model time: 62.0 ms, Real-time factor: 0.2824
[   4% ] Model time: 62.5 ms, Real-time factor: 0.2829
[   4% ] Model time: 63.0 ms, Real-time factor: 0.2834
[   4% ] Model time: 63.5 ms, Real-time factor: 0.2838
[   4% ] Model time: 64.0 ms, Real-time factor: 0.2846
[   4% ] Model time: 64.5 ms, Real-time factor: 0.2851
[   4% ] Model time: 65.0 ms, Real-time factor: 0.2855
[   4% ] Model time: 65.5 ms, Real-time factor: 0.2860
[   4% ] Model time: 66.0 ms, Real-time factor: 0.2865
[   4% ] Model time: 66.5 ms, Real-time factor: 0.2869
[   4% ] Model time: 67.0 ms, Real-time factor: 0.2876
[   4% ] Model time: 67.5 ms, Real-time factor: 0.2880
[   4% ] Model time: 68.0 ms, Real-time factor: 0.2885
[   4% ] Model time: 68.5 ms, Real-time factor: 0.2889
[   4% ] Model time: 69.0 ms, Real-time factor: 0.2893
[   4% ] Model time: 69.5 ms, Real-time factor: 0.2899
[   4% ] Model time: 70.0 ms, Real-time factor: 0.2904
[   4% ] Model time: 70.5 ms, Real-time factor: 0.2908
[   4% ] Model time: 71.0 ms, Real-time factor: 0.2912
[   4% ] Model time: 71.5 ms, Real-time factor: 0.2915
[   4% ] Model time: 72.0 ms, Real-time factor: 0.2922
[   4% ] Model time: 72.5 ms, Real-time factor: 0.2926
[   4% ] Model time: 73.0 ms, Real-time factor: 0.2930
[   4% ] Model time: 73.5 ms, Real-time factor: 0.2934
[   4% ] Model time: 74.0 ms, Real-time factor: 0.2937
[   4% ] Model time: 74.5 ms, Real-time factor: 0.2941
[   4% ] Model time: 75.0 ms, Real-time factor: 0.2946
[   4% ] Model time: 75.5 ms, Real-time factor: 0.2951
[   4% ] Model time: 76.0 ms, Real-time factor: 0.2954
[   4% ] Model time: 76.5 ms, Real-time factor: 0.2958
[   4% ] Model time: 77.0 ms, Real-time factor: 0.2962
[   4% ] Model time: 77.5 ms, Real-time factor: 0.2967
[   4% ] Model time: 78.0 ms, Real-time factor: 0.2971
[   4% ] Model time: 78.5 ms, Real-time factor: 0.2975
[   4% ] Model time: 79.0 ms, Real-time factor: 0.2978
[   4% ] Model time: 79.5 ms, Real-time factor: 0.2982
[   4% ] Model time: 80.0 ms, Real-time factor: 0.2987
[   5% ] Model time: 80.5 ms, Real-time factor: 0.2991
[   5% ] Model time: 81.0 ms, Real-time factor: 0.2994
[   5% ] Model time: 81.5 ms, Real-time factor: 0.2997
[   5% ] Model time: 82.0 ms, Real-time factor: 0.3000
[   5% ] Model time: 82.5 ms, Real-time factor: 0.3006
[   5% ] Model time: 83.0 ms, Real-time factor: 0.3009
[   5% ] Model time: 83.5 ms, Real-time factor: 0.3012
[   5% ] Model time: 84.0 ms, Real-time factor: 0.3015
[   5% ] Model time: 84.5 ms, Real-time factor: 0.3018
[   5% ] Model time: 85.0 ms, Real-time factor: 0.3021
[   5% ] Model time: 85.5 ms, Real-time factor: 0.3024
[   5% ] Model time: 86.0 ms, Real-time factor: 0.3027
[   5% ] Model time: 86.5 ms, Real-time factor: 0.3030
[   5% ] Model time: 87.0 ms, Real-time factor: 0.3033
[   5% ] Model time: 87.5 ms, Real-time factor: 0.3036
[   5% ] Model time: 88.0 ms, Real-time factor: 0.3040
[   5% ] Model time: 88.5 ms, Real-time factor: 0.3043
[   5% ] Model time: 89.0 ms, Real-time factor: 0.3046
[   5% ] Model time: 89.5 ms, Real-time factor: 0.3048
[   5% ] Model time: 90.0 ms, Real-time factor: 0.3051
[   5% ] Model time: 90.5 ms, Real-time factor: 0.3055
[   5% ] Model time: 91.0 ms, Real-time factor: 0.3058
[   5% ] Model time: 91.5 ms, Real-time factor: 0.3061
[   5% ] Model time: 92.0 ms, Real-time factor: 0.3063
[   5% ] Model time: 92.5 ms, Real-time factor: 0.3066
[   5% ] Model time: 93.0 ms, Real-time factor: 0.3070
[   5% ] Model time: 93.5 ms, Real-time factor: 0.3073
[   5% ] Model time: 94.0 ms, Real-time factor: 0.3075
[   5% ] Model time: 94.5 ms, Real-time factor: 0.3077
[   5% ] Model time: 95.0 ms, Real-time factor: 0.3080
[   5% ] Model time: 95.5 ms, Real-time factor: 0.3084
[   5% ] Model time: 96.0 ms, Real-time factor: 0.3086
[   5% ] Model time: 96.5 ms, Real-time factor: 0.3088
[   5% ] Model time: 97.0 ms, Real-time factor: 0.3091
[   5% ] Model time: 97.5 ms, Real-time factor: 0.3093
[   5% ] Model time: 98.0 ms, Real-time factor: 0.3095
[   5% ] Model time: 98.5 ms, Real-time factor: 0.3099
[   5% ] Model time: 99.0 ms, Real-time factor: 0.3101
[   5% ] Model time: 99.5 ms, Real-time factor: 0.3103
[   5% ] Model time: 100.0 ms, Real-time factor: 0.3105
[   6% ] Model time: 100.5 ms, Real-time factor: 0.3107
[   6% ] Model time: 101.0 ms, Real-time factor: 0.3110
[   6% ] Model time: 101.5 ms, Real-time factor: 0.3112
[   6% ] Model time: 102.0 ms, Real-time factor: 0.3115
[   6% ] Model time: 102.5 ms, Real-time factor: 0.3117
[   6% ] Model time: 103.0 ms, Real-time factor: 0.3118
[   6% ] Model time: 103.5 ms, Real-time factor: 0.3122
[   6% ] Model time: 104.0 ms, Real-time factor: 0.3124
[   6% ] Model time: 104.5 ms, Real-time factor: 0.3126
[   6% ] Model time: 105.0 ms, Real-time factor: 0.3127
[   6% ] Model time: 105.5 ms, Real-time factor: 0.3129
[   6% ] Model time: 106.0 ms, Real-time factor: 0.3133
[   6% ] Model time: 106.5 ms, Real-time factor: 0.3135
[   6% ] Model time: 107.0 ms, Real-time factor: 0.3136
[   6% ] Model time: 107.5 ms, Real-time factor: 0.3138
[   6% ] Model time: 108.0 ms, Real-time factor: 0.3139
[   6% ] Model time: 108.5 ms, Real-time factor: 0.3141
[   6% ] Model time: 109.0 ms, Real-time factor: 0.3144
